Age,Gender,MaritalStatus,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,PerformanceResult
Main labor group,Female,Married,Master,Life Sciences,Developer,High,High,Good,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Developer,Very High,Medium,Better,Gold range,Silver range,Meet Expectation
Main labor group,Female,Married,College,Medical,Technical Lead,High,Low,Good,Gold range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Life Sciences,Technical Lead,Low,Very High,Better,Silver range,Copper range,Exceed Expectation
Main labor group,Male,Divorced,Bachelor,Medical,Developer,Low,Medium,Better,Gold range,no exps,Meet Expectation
Main labor group,Female,Single,Master,Technical Degree,Developer,High,Very High,Better,Gold range,Silver range,Exceed Expectation
Middle-aged labor group,Female,Single,College,Life Sciences,Developer,Very High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Marketing,Sales Executive,Very High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Developer,Low,Very High,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Divorced,Bachelor,Medical,Developer,Very High,High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Divorced,College,Medical,Data Scientist,Low,Very High,Better,Diamond range,Silver range,Needs Improvement
Old labor group,Male,Married,Bachelor,Life Sciences,Developer,High,Medium,Good,Copper range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Technical Lead,Medium,High,Bad,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,College,Life Sciences,Sales Executive,Very High,Very High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Single,Below College,Technical Degree,Developer,Very High,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Technical Degree,Manager,High,Medium,Good,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Single,Master,Life Sciences,Developer,Low,High,Bad,Copper range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Sales Executive,Low,Medium,Better,Silver range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Data Scientist,Medium,Medium,Better,Silver range,no exps,Exceed Expectation
Main labor group,Male,Divorced,College,Life Sciences,Developer,Medium,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,College,Medical,Technical Lead,High,Medium,Better,Diamond range,Silver range,Meet Expectation
Old labor group,Male,Single,Bachelor,Medical,Developer,Very High,High,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Technical Lead,Very High,Very High,Good,Copper range,Copper range,Exceed Expectation
Main labor group,Male,Married,Master,Medical,Sales Executive,High,Medium,Best,Silver range,Copper range,Exceed Expectation
Young labor group,Male,Single,College,Medical,Developer,Very High,Low,Best,Copper range,Copper range,Exceed Expectation
Main labor group,Female,Divorced,Master,Medical,Developer,Low,Low,Better,Gold range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Life Sciences,Technical Lead,Medium,Medium,Good,Silver range,Silver range,Meet Expectation
Main labor group,Female,Divorced,College,Medical,Sales Executive,Low,High,Better,Silver range,no exps,Exceed Expectation
Main labor group,Female,Divorced,Bachelor,Life Sciences,Data Scientist,High,Low,Bad,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Divorced,Below College,Life Sciences,Developer,Low,Low,Good,Diamond range,Copper range,Needs Improvement
Old labor group,Male,Married,Master,Medical,Technical Lead,High,Very High,Good,Diamond range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Below College,Life Sciences,Sales Executive,Medium,High,Better,Gold range,Gold range,Needs Improvement
